
信号                        route          n      min      max      中位   非零%
TSK_Steigung              rlog.zst    2787    0.000    2.400   0.000   100
TSK_QBit_Steigung         rlog.zst    2787    0.000    1.000   0.000     2
PSD_Endsteigung           rlog.zst     192    0.000    0.000   0.000     0
ESP_Laengsbeschl          rlog.zst    2788   -5.375    0.469   0.000    28
ESP_Querbeschleunigung    rlog.zst    2788   -0.010    0.020   0.000     9
ESP_Gierrate              rlog.zst    2788    0.000    3.070   0.230    91
ESP_VZ_Gierrate           rlog.zst    2788    0.000    1.000   0.000    37
ACC_Momentenanforderung   rlog.zst    2786    0.000    0.000   0.000     0
ACC_Verz_anf              rlog.zst    2786    0.000    3.010   0.000    25
ACC_Freigabe_Momentenanf  rlog.zst    2786    0.000    0.000   0.000     0
ACC_Freigabe_Verzanf      rlog.zst    2786    0.000    0.000   0.000     0
ACC_Gesetzte_Zeitluecke   rlog.zst     880    3.000    4.000   3.000   100
EPS_Lenkmoment            rlog.zst    5575    0.000  211.000   3.000    97

扫描完成
